ï»¿Constituency,Name,Gender,Party,State,Education,Electors,Votes,Turn out,Margin,Margin %,Type
Tikamgarh,Virendra Kumar,Male,BJP,Madhya Pradesh,Doctorate,"15,09,361","13,13,515",0.887,"2,28,376",0.174,
Tirupati,Balli Durga Prasad Rao,Male,YSRCP,Andhra Pradesh,Graduate Professional,"14,90,562","11,19,584",0.766,93368,0.083,GEN
Tiruppur,K. Subbarayan,Male,INC,TamilNadu,Graduate,"14,31,287","11,51,729",0.813,"3,04,187",0.264,GEN
Tonk-Sawai Madhopur,Sukhbir Singh Jaunapuria,Male,BJP,Rajasthan,12th Pass,"18,93,418","12,33,458",0.656,"1,11,291",0.09,GEN
Tripura East,Rebati Tripura,Male,BJP,Tripura,Post Graduate,"11,73,233","10,45,417",0.901,"2,04,290",0.195,ST
Tripura West,Pratima Bhoumik,Female,BJP,Tripura,Graduate,"12,85,794","11,07,755",0.871,"3,05,689",0.276,GEN
Tumkur,Gangasandra Siddappa Basavaraj,Male,BJP,Karnataka,Graduate Professional,"15,84,884","12,44,858",0.792,13339,0.011,GEN
Tura,Agatha K. Sangma,Female,National People s Party,Meghalaya,Post Graduate,"6,92,353","5,83,041",0.851,64030,0.11,ST
Udaipur,Arjunlal Meena,Male,BJP,Rajasthan,Post Graduate,"20,08,400","14,54,518",0.738,"4,37,914",0.301,ST
Udhampur,Jitendra Singh,Male,BJP,Jammu and Kashmir,Post Graduate,"14,90,244","11,80,123",0.797,"3,57,252",0.303,
Udupi Chikmagalur,Shobha Karandlaje,Female,BJP,Karnataka,Post Graduate,"14,95,439","11,51,012",0.775,"3,49,599",0.304,GEN
Ujiarpur,Nityanand Rai,Male,BJP,Bihar,Graduate,"15,88,209","9,69,284",0.619,"2,77,278",0.286,GEN
Ujjain,Anil Firojiya,Male,BJP,Madhya Pradesh,12th Pass,"16,24,122","12,52,511",0.778,"3,65,637",0.292,SC
Uluberia,Sajda Ahmed,Male,TMC,West Bengal,Graduate,"17,75,607","13,11,099",0.744,"2,15,359",0.164,GEN
Unnao,Sakshi Maharaj,Male,BJP,Uttar Pradesh,Doctorate,"21,60,607","12,37,076",0.578,"4,00,956",0.324,GEN
Uttara Kannada,Anantkumar Hegde,Male,BJP,Karnataka,12th Pass,"15,35,047","11,53,480",0.762,"4,79,649",0.416,GEN
Vadakara,K. Muraleedharan,Male,INC,Kerala,Graduate,"12,07,556","10,65,619",0.885,84663,0.079,GEN
Vadodara,Ranjanben Dhananjay Bhatt,Female,BJP,Gujarat,12th Pass,"17,07,484","12,22,348",0.726,"5,89,177",0.482,GEN
Vaishali,Veena Devi,Female,LJSP,Bihar,10th Pass,"17,21,658","10,74,730",0.63,"2,34,584",0.218,GEN
Valmiki Nagar,Baidyanath Prasad Mahto,Male,JDU,Bihar,10th Pass,"16,41,701","10,32,090",0.65,"3,54,616",0.344,GEN
Valsad,K. C. Patel,Male,BJP,Gujarat,Graduate Professional,"16,28,352","12,60,377",0.786,"3,53,797",0.281,ST
Varanasi,Narendra Modi,Male,BJP,Uttar Pradesh,Post Graduate,"17,84,093","10,60,476",0.597,"4,79,505",0.452,GEN
Vidisha,Ramakant Bhargava,Male,BJP,Madhya Pradesh,12th Pass,"17,00,678","12,50,244",0.74,"5,03,084",0.402,GEN
Vijayawada,Kesineni Srinivas (nani),Male,TDP,Andhra Pradesh,10th Pass,"13,62,762","12,77,711",0.944,8726,0.007,
Villuppuram,D. Ravikumar,Male,DMK,TamilNadu,Doctorate,"14,00,389","11,35,540",0.819,"1,28,068",0.113,SC
Virudhunagar,Manicka Tagore,Male,INC,TamilNadu,,"14,61,240","10,74,735",0.747,"1,54,554",0.144,GEN
Visakhapatnam,M V V Satyanarayana,Male,YSRCP,Andhra Pradesh,10th Pass,"15,34,088","12,39,754",0.819,4414,0.004,
Vizianagaram,Bellana Chandra Sekhar,Male,YSRCP,Andhra Pradesh,Graduate Professional,"13,80,455","12,17,890",0.904,48036,0.039,
Warangal,Dayakar Pasunoori,Male,TRS,Telangana,Graduate,"15,78,335","10,61,645",0.685,"3,50,298",0.33,SC
Wardha,Ramdas Chandrabhanji Tadas,Male,BJP,Maharashtra,10th Pass,"16,79,788","10,72,570",0.642,"1,87,191",0.175,GEN
Wayanad,Rahul Gandhi,Male,INC,Kerala,Post Graduate,"13,06,141","10,92,197",0.838,"4,31,770",0.395,GEN
West Delhi,Parvesh Sahib Singh,Male,BJP,Delhi,Post Graduate,"20,39,410","14,41,601",0.711,"5,78,486",0.401,GEN
Yavatmal-Washim,Bhawana Gawali (Patil),Female,Shiv Sena,Maharashtra,Graduate,"18,12,059","11,74,220",0.65,"1,17,939",0.1,GEN
Zahirabad,Bheemrao Baswanthrao Patil,Male,TRS,Telangana,Graduate,"14,11,026","10,44,365",0.748,6229,0.006,GEN
