ï»¿Constituency,Name,Gender,Party,State,Education,Electors,Votes,Turn out,Margin,Margin %,Type
Kandhamal,Achyutananda Samanta,Male,Biju Janata Dal,Odisha,Doctorate,"12,35,291","9,41,985",0.773,"1,49,216",0.158,GEN
Kangra,Kisan Kapoor,Male,BJP,Himachal Pradesh,12th Pass,"12,58,601","10,06,989",0.809,"4,77,623",0.474,GEN
Kanker,Mohan Mandavi,Male,BJP,Chhattisgarh,Post Graduate,"15,31,469","11,59,193",0.774,6914,0.006,ST
Kannauj,Subrat Pathak,Male,BJP,Uttar Pradesh,Graduate,"18,27,515","11,40,496",0.629,12353,0.011,GEN
Kanniyakumari,H. Vasanthakumar,Male,INC,TamilNadu,Post Graduate,"14,77,243","10,48,377",0.714,"2,59,933",0.248,GEN
Kannur,Kumbakudi Sudhakaran,Male,INC,Kerala,Post Graduate,"12,01,236","10,53,842",0.881,94559,0.09,GEN
Kanpur,Satyadev Pachauri,Male,BJP,Uttar Pradesh,Post Graduate,"19,36,426","8,42,994",0.437,"1,55,934",0.185,GEN
Kanthi,Sisir Kumar Adhikari,Male,TMC,West Bengal,12th Pass,"17,93,513","14,24,247",0.799,"1,11,668",0.078,GEN
Karauli-Dholpur,Manoj Rajoria,Male,BJP,Rajasthan,Post Graduate,"17,59,358","8,68,798",0.506,84542,0.097,GEN
Karimganj,Kripanath Mallah,Male,BJP,Assam,Graduate,"17,82,015","9,98,044",0.564,97682,0.098,SC
Karimnagar,Sanjay Kumar Bandi,Male,BJP,Telangana,Post Graduate,"15,44,460","11,47,697",0.748,89508,0.078,GEN
Karnal,Sanjay Bhatia,Male,BJP,Haryana,Graduate,"18,21,231","13,00,722",0.717,"6,56,142",0.504,GEN
Karur,S. Jothimani,Male,INC,TamilNadu,Post Graduate,"13,65,804","11,03,165",0.815,"4,20,546",0.381,GEN
Kasargod,Rajmohan Unnithan,Male,INC,Kerala,Graduate,"13,05,827","11,00,051",0.846,40438,0.037,GEN
Katihar,Dulal Chandra Goswami,Male,JDU,Bihar,8th Pass,"16,45,713","11,17,734",0.692,57203,0.051,GEN
Kaushambi,Vinod Kumar Sonkar,Male,BJP,Uttar Pradesh,Graduate,"17,43,036","9,74,438",0.568,38722,0.04,SC
